Cabinet,,A-07-15-1-A,,,,,,,,,
,,,,,,,,,,,
Port 1 Blue,,RU42~43,SWACC26-LAX5,,,,,,,,
Port 2 Black,,RU39~40,SWACC27-LAX5,,,,,,,,
White Cable,,RU39~40,SWACC27-LAX5,,,,,,,,
,,,,,,,,,,,
Server,,RU,Port 1 (Blue),,Port 2 (Black),,IPMI (White),,IPMI IP,Mask,Gateway
,,,Switch RU,Port,Switch RU,Port,Switch RU,Port,,,
m4.xlar-a-07-15-1-a-ru33,,33,RU 42~43,1,RU 39~40,1,RU 39~40,96,,255.255.255.0,
m4.xlar-a-07-15-1-a-ru32,,32,,2,,2,,95,,,
m4.xlar-a-07-15-1-a-ru31,,31,,3,,3,,94,,,
m4.xlar-a-07-15-1-a-ru30,,30,,4,,4,,93,,,
m4.xlar-a-07-15-1-a-ru28,,28,,5,,5,,92,,,
m4.xlar-a-07-15-1-a-ru27,,27,,6,,6,,91,,,
m4.xlar-a-07-15-1-a-ru26,,26,,7,,7,,90,,,
m4.xlar-a-07-15-1-a-ru25,,25,,8,,8,,89,,,
m4.xlar-a-07-15-1-a-ru23,,23,,9,,9,,88,,,
m4.xlar-a-07-15-1-a-ru22,,22,,10,,10,,87,,,
m4.xlar-a-07-15-1-a-ru21,,21,,11,,11,,86,,,
m4.xlar-a-07-15-1-a-ru20,,20,,12,,12,,85,,,